Country	City	Company Name	Company Type	Website	Contact Email	Key Contact	Est. Size	Notes
Singapore	Singapore	Oppenheimer Generations Asia	Family Office	https://www.ogenerations.com	info@ogenerations.com	-	$10B AUM	De Beers fortune; PE, VC, sustainability focus in Asia. Est. 2021
Singapore	Singapore	Aglaia Family Office	Family Office	https://www.aglaia.com.sg	info@aglaia.com.sg	-	$3B AUM	Multi-family office; PE, credit, real estate. MAS licensed. Est. 2006
Singapore	Singapore	GAO Capital	Family Office	https://www.gaocapital.com	info@gaocapital.com	-	$2B+ AUM	Ex-JP Morgan/UBS founders; hedge funds, quant strategies, PE
Singapore	Singapore	Prime Asia Asset Management	Multi-Family Office	https://pa-am.com	contact@pa-am.com	Tan Seng Kee, CEO	$1.6B AUM; 150+ UHNW clients	MAS CMS licensed; wealth mgmt, family office advisory, tax planning
Singapore	Singapore	Tecity Group	Family Office	https://www.tecity.com.sg	info@tecity.com.sg	-	$1.5B AUM	Three-generation banking/real estate dynasty. Capital preservation focus
Singapore	Singapore	Das Family Office	Multi-Family Office	https://dfo.sg	info@dfo.sg	Mario Christoph Becker, CEO	-	MAS CMS licensed; fee-only, performance-oriented. Founded 2017
Singapore	Singapore	Golden Vision Capital	Family Office	https://www.goldenvisioncapital.com	info@goldenvisioncapital.com	-	$19B family wealth	Sinar Mas/Widjaja family; palm oil, renewables, real estate
Singapore	Singapore	Steppe Capital	Family Office	https://www.steppecapital.com	info@steppecapital.com	-	$5B AUM	Multi-asset across infrastructure, energy, emerging markets
Singapore	Singapore	Wee Investments Pte Ltd	Family Office	-	-	-	$5-7B AUM	Largest Singapore SFO; multi-billion diversified wealth
Singapore	Singapore	Kuok Group Family Office	Family Office	https://www.kuokgroup.com	info@kuokgroup.com	-	Multi-billion	Sugar King empire; commodities, hotels (Shangri-La), real estate
Singapore	Singapore	Alpharock Family Office	Family Office	-	info@alpharock.sg	-	-	MAS registered family office
Singapore	Singapore	APAC Family Office	Family Office	-	info@apacfo.com	-	-	MAS registered; Asia-Pacific focus
Singapore	Singapore	Singular Asset Management	Boutique Asset Manager	https://www.singular.com.sg	info@singular.com.sg	-	-	HNW and institutional clients; long-term performance, sustainability
Singapore	Singapore	River Valley Asset Management	Boutique Asset Manager	https://www.rivervalleyasset.com	info@rivervalleyasset.com	-	-	Boutique focused on wealth preservation and growth
Singapore	Singapore	APS Asset Management	Fund Manager	https://www.aps-am.com	info@aps-am.com	-	-	Est. 1995; Asia Pacific equity investments. MAS licensed
Singapore	Singapore	Amansa Capital	Fund Manager	https://www.amansacapital.com	info@amansacapital.com	-	-	Est. 2006; MAS CMS licensed since 2008
Singapore	Singapore	Aquarius Investment Advisors	Fund Manager	-	info@aquariusinvestment.com	-	-	MAS licensed; accredited investor focus
Singapore	Singapore	Arohi Asset Management	Fund Manager	-	info@arohiam.com	-	-	MAS licensed boutique fund manager
Singapore	Singapore	Avanda Investment Management	Fund Manager	-	info@avandaim.com	-	-	IMAS member; MAS licensed
Singapore	Singapore	Pheim Asset Management (Asia)	Fund Manager	https://www.pheim.com	info@pheim.com.sg	-	-	IMAS member; Asia-focused equity specialist
Singapore	Singapore	Foord Asset Management (Singapore)	Fund Manager	https://www.foord.com	singapore@foord.com	-	-	IMAS member; South African heritage, global reach
Singapore	Singapore	Fullerton Fund Management	Fund Manager	https://www.fullertonfund.com	enquiry@fullertonfund.com	-	-	IMAS member; Temasek-linked; multi-asset strategies
Singapore	Singapore	Phillip Capital Management	Fund Manager	https://www.phillip.com.sg	talktophillip@phillip.com.sg	-	-	IMAS member; pioneered online trading in SG 1996
Singapore	Singapore	Endowus	Wealth Management	https://endowus.com	support@endowus.com	Samuel Rhee, CEO	300K+ clients	Asia's leading independent wealth advisor. MAS licensed
Singapore	Singapore	Quantedge Capital	Hedge Fund	https://www.quantedge.com	info@quantedge.com	-	-	Systematic/quant hedge fund. Est. 2008
Singapore	Singapore	Gordian Capital	Boutique Asset Manager	https://www.gordiancapital.com	info@gordiancapital.com	-	-	Independent; Asian equities and multi-asset. Est. 2007
Singapore	Singapore	Heliconia Capital Management	Private Equity	https://www.heliconia.com.sg	info@heliconia.com.sg	-	-	Temasek-backed; growth-stage tech, media, consumer in Asia
Singapore	Singapore	Openspace Capital	Private Equity	https://www.openspacecapital.com	info@openspacecapital.com	-	-	SVCA member; boutique VC/PE; early-to-growth stage Asia
Singapore	Singapore	65 Equity Partners	Private Equity	https://www.65equity.com	info@65equity.com	-	-	Temasek-backed; patient capital; Asia/Europe/NA
Singapore	Singapore	Novo Tellus Capital Partners	Private Equity	https://www.novotellus.com	info@novotellus.com	-	-	Infrastructure/tech-enabled services; long-term holdings
Singapore	Singapore	Northstar Group	Private Equity	https://www.northstar.co.id	info@northstar.co.id	-	-	Growth equity in consumer/tech; regional focus
Singapore	Singapore	Quest Ventures	Venture Capital	https://www.questventures.com	hello@questventures.com	-	100+ portfolio cos	Asia-wide digital economy focus
Singapore	Singapore	Insignia Ventures Partners	Venture Capital	https://www.insignia.vc	info@insignia.vc	-	-	Early-stage fintech, enterprise software; Southeast Asia
Singapore	Singapore	Forge Ventures	Venture Capital	https://forge.vc	hello@forge.vc	-	-	Pre-seed/seed fintech, SaaS, healthtech
Singapore	Singapore	Tin Men Capital	Venture Capital	https://www.tinmen.vc	info@tinmen.vc	-	-	B2B tech manufacturing, agriculture
Singapore	Singapore	Betatron Venture Group	Venture Capital	https://betatron.co	hello@betatron.co	-	-	B2B robotics, logistics, FMCG; asset-light focus
Singapore	Singapore	Pictet Wealth Management (SG)	Wealth Management	https://www.pictet.com/sg	info@pictet.com	-	-	Operating in SG since 1995; 220+ years experience; HNW/UHNW
Singapore	Singapore	1982 Ventures	Fund Manager	https://www.1982.vc	info@1982.vc	-	-	MAS licensed; fintech-focused VC
Singapore	Singapore	360 ONE Capital	Fund Manager	-	info@360onecapital.com	-	-	MAS licensed boutique
Singapore	Singapore	42 Wealth Management	Wealth Management	-	info@42wm.com	-	-	MAS licensed boutique wealth manager
Singapore	Singapore	8F Asset Management	Fund Manager	-	info@8fam.com	-	-	MAS licensed boutique
Singapore	Singapore	500 Global (Singapore)	Fund Manager	https://500.co	info@500.co	-	-	MAS licensed; global early-stage VC with SG base
Singapore	Singapore	Prudence Asset Management	Fund Manager	-	info@prudenceasset.com	-	-	AIWM member; MAS licensed
Singapore	Singapore	Red Beacon Asset Management	Fund Manager	-	info@redbeaconam.com	-	-	AIWM member; boutique fund manager
Singapore	Singapore	BlueFire AI	Fintech/Asset Mgmt	-	info@bluefireai.com	-	-	IMAS Fintech member; AI-focused investment solutions
Singapore	Singapore	Transparently.AI	Fintech/Asset Mgmt	https://www.transparently.ai	info@transparently.ai	-	-	IMAS Fintech member; AI-driven analytics
Singapore	Singapore	Schroders Wealth Management (SG)	Wealth Management	https://www.schroders.com/en-sg	info.singapore@schroders.com	-	-	Global wealth manager with significant SG presence
